"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","STATE_NAME","COUNTY_NAME","ARPT_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","ICAO_ID","facility_use"
"2026/09/03","00103.","A","AL","0J0","ABBEVILLE","US","ALABAMA","HENRY","ABBEVILLE MUNI",31,36,6.193,"N",31.60172027,85,14,18.761,"W",-85.23854472,468.3,"E",1,"W",1985,"","public"
"2026/09/03","00106.","A","AL","2A8","ADDISON","US","ALABAMA","WINSTON","ADDISON",34,13,1.71,"N",34.21714166,87,9,29.37,"W",-87.15815833,786,"E",0,"E",1980,"","public"
"2026/09/03","00108.","A","AL","AL03","AKRON","US","ALABAMA","HALE","STRICKLAND/SMALLEY FLD",32,50,51,"N",32.8475,87,42,50,"W",-87.71388888,369,"E",NA,"",NA,"","private"
"2026/09/03","00110.","A","AL","EET","ALABASTER","US","ALABAMA","SHELBY","SHELBY COUNTY",33,10,40,"N",33.17777777,86,46,59.6,"W",-86.78322222,585.6,"S",3,"W",2010,"KEET","public"
"2026/09/03","00110.01","H","AL","AL39","ALABASTER","US","ALABAMA","SHELBY","SHELBY MEDICAL CENTER",33,15,8,"N",33.25222222,86,48,44,"W",-86.81222222,510,"E",0,"E",1985,"","private"
"2026/09/03","00112.1","A","AL","BFZ","ALBERTVILLE","US","ALABAMA","MARSHALL","ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD",34,13,44.792,"N",34.22910888,86,15,20.722,"W",-86.25575611,1032.3,"S",2,"W",1995,"KBFZ","public"
"2026/09/03","00116.","A","AL","ALX","ALEXANDER CITY","US","ALABAMA","TALLAPOOSA","THOMAS C RUSSELL FLD",32,54,53.1,"N",32.91475,85,57,46.6,"W",-85.96294444,685.8,"S",4,"W",2015,"KALX","public"
"2026/09/03","00116.01","H","AL","33AL","ALEXANDER CITY","US","ALABAMA","TALLAPOOSA","RUSSELL MEDICAL",32,55,48.28,"N",32.93007777,85,58,15.27,"W",-85.97090833,703,"E",NA,"",NA,"","private"
"2026/09/03","00119.","A","AL","AIV","ALICEVILLE","US","ALABAMA","PICKENS","GEORGE DOWNER",33,6,24.28,"N",33.10674444,88,11,49.83,"W",-88.197175,150,"S",2,"W",2015,"KAIV","public"
"2026/09/03","00124.","A","AL","79J","ANDALUSIA","US","ALABAMA","COVINGTON","SOUTH ALABAMA RGNL AT BILL BENTON FLD",31,18,30.1,"N",31.30836111,86,23,32,"W",-86.39222222,310.2,"S",2,"W",2005,"","public"
