faa_date,airports,navaids,run_timestamp
2026-01-22,5308,1650,2026-01-31 19:48:32
2026-02-19,5309,1649,2026-02-19 22:32:44
2026-02-19,5309,1649,2026-02-19 22:50:37
2026-03-19,5309,1639,2026-04-10 00:10:34
2026-03-19,5309,1639,2026-04-10 01:23:27
2026-04-16,5305,1638,2026-04-17 13:26:18
2026-05-14,5305,1634,2026-05-14 16:57:34
2026-05-14,5305,1634,2026-05-25 05:33:18
2026-05-14,19410,1634,2026-06-10 02:20:20
2026-06-11,19408,1635,2026-06-12 15:21:48
2026-07-09,19436,1629,2026-07-10 14:34:00
2026-07-09,19436,1629,2026-07-30 00:46:41
2026-08-06,19426,1629,2026-08-07 00:45:07
